cohort,winner,rate_delta_per_1k,codex_rate_per_1k,claude_rate_per_1k,codex,claude,total,one_sided,stack
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:flamegraph;prompt:design;tool:shell;cmd:sed;effect:read;path:skills/osdi-experiment-design;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:flamegraph;prompt:design;tool:shell;cmd:wc;effect:read;path:docs/design/vis;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:flamegraph;prompt:design;tool:subagent;cmd:close;effect:process;status:observed
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:flamegraph;prompt:flamegraph;tool:shell;cmd:nl;effect:read;path:docs/design/vis;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:flamegraph;prompt:flamegraph;tool:shell;cmd:sed;effect:read;path:frontend/src/components;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:flamegraph;prompt:network;tool:shell;cmd:find;effect:read;path:docs/design/papers;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:flamegraph;prompt:network;tool:shell;cmd:wc;effect:read;path:docs/design/papers;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:flamegraph;prompt:network;tool:subagent;cmd:wait;effect:process;status:observed
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:flamegraph;prompt:session;tool:shell;cmd:find;effect:read;path:docs/design/vis;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:flamegraph;prompt:session;tool:shell;cmd:git;effect:read;path:docs/design/readme.md;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:flamegraph;prompt:session;tool:shell;cmd:git;effect:read;path:docs/design/system-effect-user-audit.md;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:flamegraph;prompt:session;tool:shell;cmd:head;effect:read;path:06/13;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:flamegraph;prompt:session;tool:shell;cmd:nl;effect:read;path:docs/design/vis;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:flamegraph;prompt:session;tool:shell;cmd:rm;effect:write;path:docs/design/vis;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:rg;effect:read;path:docs/visexp/out;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:6s;effect:process;path:claude/versions;status:fail
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:git;effect:read;path:collector/src/cli_db.rs;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:python3;effect:process;path:tmp/tmp.wtcwppg1tv;status:fail
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:readelf;effect:process;path:.opencode/bin;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:rg;effect:read;path:bpf/sslsniff.c;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:rg;effect:read;path:collector/src/model.rs;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:rg;effect:read;path:collector/src/view;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:rustfmt;effect:process;path:collector/src/analyzers;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:sed;effect:read;path:collector/src/runners;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:sed;effect:read;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:set;effect:process;path://tmp;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:xxd;effect:process;path:.opencode/bin;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:debug;tool:tool;cmd:write;effect:process;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:inspect;tool:shell;cmd:git;effect:read;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:-v;effect:process;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:git;effect:read;path:collector/src/sources;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:git;effect:read;path:collector/src/view;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:ls;effect:read;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:rg;effect:read;path:collector/src/view;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:pr;tool:shell;cmd:-n;effect:process;path:bpf/sslsniff;status:fail
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:pr;tool:shell;cmd:6s;effect:process;path:bpf/sslsniff;status:fail
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:pr;tool:shell;cmd:nl;effect:read;path:collector/src/runners;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:pr;tool:shell;cmd:python3;effect:process;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:session;tool:shell;cmd:rg;effect:read;path:.rs;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:paper;prompt:session;tool:shell;cmd:rg;effect:read;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:reviewdoc;prompt:reviewdoc;tool:plan;cmd:update;effect:process;path:aggregation/folded-stack;status:observed
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:reviewdoc;prompt:reviewdoc;tool:plan;cmd:update;effect:process;path:docs/visexp;status:observed
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:reviewdoc;prompt:reviewdoc;tool:shell;cmd:jq;effect:read;path:docs/visexp/out;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:reviewing;prompt:prompt;tool:shell;cmd:sed;effect:read;path:docs/design/papers;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:reviewing;prompt:reviewing;tool:shell;cmd:sed;effect:read;path:docs/design/papers;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:reviewing;prompt:revise;tool:shell;cmd:sed;effect:read;path:docs/design/papers;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:agent;tool:shell;cmd:gh;effect:process;status:fail
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:agent;tool:shell;cmd:gh;effect:process;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:agent;tool:shell;cmd:git;effect:read;path:collector/src/output;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:agent;tool:shell;cmd:git;effect:read;path:collector/src/text.rs;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:agent;tool:shell;cmd:python3;effect:process;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:agent;tool:shell;cmd:sed;effect:read;path:frontend/src/components;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:agent;tool:shell;cmd:which;effect:process;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:commit;tool:shell;cmd:rustfmt;effect:process;path:collector/src/sources;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:commit;tool:shell;cmd:sed;effect:read;path:collector/src/sources;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:debug;tool:shell;cmd:curl;effect:network;domain:127.0.0.1:7401;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:debug;tool:shell;cmd:rg;effect:read;path:.ts;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:debug;tool:shell;cmd:rg;effect:read;path:.tsx;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:debug;tool:shell;cmd:rg;effect:read;path:frontend/src;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:debug;tool:shell;cmd:rm;effect:write;path:collector/target/agentsight-runs;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:debug;tool:shell;cmd:rm;effect:write;path:collector/target/debug;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:debug;tool:shell;cmd:sed;effect:read;path:collector/src/view;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:inspect;tool:shell;cmd:gh;effect:process;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:main;tool:shell;cmd:rg;effect:read;path:collector/src/sources;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:model;tool:shell;cmd:python3;effect:process;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:server;tool:shell;cmd:sed;effect:read;path:frontend/src/app;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:server;tool:shell;cmd:ss;effect:process;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:server;tool:tool;cmd:write;effect:process;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:agentsight;effect:process;path://tmp;status:observed
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:agentsight;effect:process;path://tmp;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:agentsight;effect:process;path:collector/target/debug;status:observed
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:cd;effect:process;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:chromium;effect:network;path://tmp;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:chromium;effect:network;path:snap/bin;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:curl;effect:network;domain:127.0.0.1:7402;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:git;effect:read;path:collector/src/cmd_exec.rs;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:git;effect:read;path:collector/src/main.rs;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:git;effect:repo;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:nl;effect:read;path:collector/src/cli_db.rs;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:python3;effect:write;domain:127.0.0.1:7402;status:fail
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:python3;effect:write;domain:127.0.0.1:_port;status:fail
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:rg;effect:read;path:.ts;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:rg;effect:read;path:.tsx;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:rg;effect:read;path:collector/src/server;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:rm;effect:write;path:collector/target/agentsight-runs;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:rustfmt;effect:process;path:collector/src/binary_resolver.rs;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:sed;effect:read;path:collector/src/analyzers;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:sed;effect:read;path:collector/src/cmd_exec.rs;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:sed;effect:read;path:collector/src/text.rs;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:sleep;effect:network;path://tmp;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:sqlite3;effect:process;path://tmp;status:fail
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:sqlite3;effect:process;path:collector/target/agentsight-runs;status:fail
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:tmux;effect:network;path:repo;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:ssl;tool:shell;cmd:cargo;effect:test;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:ssl;tool:shell;cmd:sed;effect:read;path:collector/src/cmd_trace.rs;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:subagent;tool:shell;cmd:git;effect:read;path:collector/src/cli_db.rs;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:subagent;tool:shell;cmd:git;effect:read;path:collector/src/main.rs;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:subagent;tool:shell;cmd:git;effect:read;path:collector/src/server;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:subagent;tool:shell;cmd:git;effect:read;path:origin/master...3b93142;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:subagent;tool:subagent;cmd:wait;effect:process;status:observed
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:trace;tool:shell;cmd:agentsight;effect:process;path://tmp;status:observed
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:trace;tool:shell;cmd:cargo;effect:test;path:collector/cargo.toml;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:trace;tool:shell;cmd:gh;effect:process;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:trace;tool:shell;cmd:git;effect:read;path:origin/master;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:trace;tool:shell;cmd:ls;effect:read;path://tmp;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:trace;tool:shell;cmd:python3;effect:network;domain:127.0.0.1:7406;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:trace;tool:shell;cmd:rg;effect:read;path:collector/src/model.rs;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:trace;tool:shell;cmd:sed;effect:read;path:collector/src/cli_db.rs;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:trace;tool:shell;cmd:sed;effect:read;path:collector/src/cmd_trace.rs;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:trace;tool:shell;cmd:sed;effect:read;path:collector/src/server;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:trace;tool:shell;cmd:sed;effect:read;path:frontend/src/components;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:work;tool:shell;cmd:-v;effect:process;status:ok
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:work;tool:shell;cmd:lsof;effect:process;status:fail
all,codex,0.802,0.802,0.0,3,0,3,True,project:agentsight;session:session;prompt:work;tool:shell;cmd:sleep;effect:process;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:implement;prompt:implement;tool:edit;cmd:write;effect:write;path:btree.py;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:implement;prompt:implement;tool:edit;cmd:write;effect:write;path:btree_complexity_analysis.md;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:implement;prompt:implement;tool:edit;cmd:write;effect:write;path:test_btree.py;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:implement;prompt:implement;tool:shell;cmd:python3;effect:process;path:test_btree.py;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:commit;tool:edit;cmd:edit;effect:write;path:claude.md;status:fail
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:commit;tool:edit;cmd:edit;effect:write;path:claude.md;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:commit;tool:read;cmd:read;effect:read;path:claude.md;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:commit;tool:shell;cmd:cd;effect:process;path:../collector;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:commit;tool:shell;cmd:cd;effect:process;path:collector/vendor/bpf;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:commit;tool:shell;cmd:cd;effect:process;path:repo;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:commit;tool:shell;cmd:gh;effect:network;path:chore/bpf-jsonl-dedup;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:commit;tool:shell;cmd:git;effect:read;path:a8f8194..origin/master;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:commit;tool:shell;cmd:git;effect:read;path:claude.md;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:commit;tool:shell;cmd:git;effect:repo;path:bpf;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:commit;tool:shell;cmd:git;effect:repo;path:collector/src;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:commit;tool:shell;cmd:git;effect:repo;path:collector/tests;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:commit;tool:shell;cmd:git;effect:repo;path:collector/vendor/bpf;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:commit;tool:shell;cmd:git;effect:repo;path:origin/wip;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:commit;tool:shell;cmd:git;effect:repo;path:readme.md;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:commit;tool:shell;cmd:git;effect:repo;path:vendor/frontend;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:commit;tool:shell;cmd:sed;effect:read;path:claude.md;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:commit;tool:shell;cmd:sed;effect:read;path:origin/master;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:design;tool:edit;cmd:write;effect:write;path:docs/design/architecture-refactor-plan.md;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:design;tool:read;cmd:read;effect:read;path:docs/design/materialized-view-architecture.md;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:design;tool:read;cmd:read;effect:read;path:docs/design/product-scope-agent-native.md;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:design;tool:shell;cmd:find;effect:read;path:.c;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:design;tool:shell;cmd:find;effect:read;path:.h;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:design;tool:shell;cmd:find;effect:read;path:.rs;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:design;tool:shell;cmd:find;effect:read;path:.ts;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:design;tool:shell;cmd:find;effect:read;path:.tsx;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:design;tool:shell;cmd:find;effect:read;path:/.git;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:design;tool:shell;cmd:grep;effect:read;path:collector/src/sources;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:design;tool:shell;cmd:grep;effect:read;path:collector/src;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:design;tool:shell;cmd:ls;effect:read;path:collector/src/framework;status:fail
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:design;tool:shell;cmd:ls;effect:read;path:collector/src;status:fail
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:design;tool:shell;cmd:ls;effect:read;path:docs/design;status:fail
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:design;tool:shell;cmd:wc;effect:read;path:docs/design/materialized-view-architecture.md;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:design;tool:shell;cmd:wc;effect:read;path:docs/design/product-scope-agent-native.md;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:design;tool:shell;cmd:wc;effect:read;path:docs/design/session-centric-top.md;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:design;tool:shell;cmd:wc;effect:read;path:docs/design/view-session-process-model.md;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:design;tool:subagent;cmd:agent;effect:process;path:repo;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:paper;tool:shell;cmd:cd;effect:process;path://tmp;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:paper;tool:shell;cmd:cd;effect:process;path:collector/src;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:paper;tool:shell;cmd:cd;effect:process;path:repo;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:paper;tool:shell;cmd:cd;effect:process;path:src/cmd_exec.rs;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:paper;tool:shell;cmd:cd;effect:process;path:src/cmd_top.rs;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:paper;tool:shell;cmd:cd;effect:process;path:tmp/head-src;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:paper;tool:shell;cmd:grep;effect:read;path:src/runners;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:paper;tool:shell;cmd:grep;effect:read;path:src/sources;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:paper;tool:shell;cmd:prod;effect:process;path:collector;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:paper;tool:shell;cmd:prod;effect:process;path:src/agents;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:paper;tool:shell;cmd:prod;effect:process;path:src/analyzers;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:paper;tool:shell;cmd:prod;effect:process;path:src/cli_discover.rs;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:paper;tool:shell;cmd:prod;effect:process;path:src/cmd_perf.rs;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:paper;tool:shell;cmd:prod;effect:process;path:src/cmd_perf_live.rs;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:paper;tool:shell;cmd:split_count;effect:process;path:collector;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:pr;tool:shell;cmd:gh;effect:process;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:session;tool:read;cmd:read;effect:read;path:collector/src/analyzers;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:session;tool:read;cmd:read;effect:read;path:collector/src/sinks;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:session;tool:read;cmd:read;effect:read;path:collector/src/view;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:session;tool:shell;cmd:find;effect:read;path:collector/src;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:session;tool:shell;cmd:find;effect:read;path:repo;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:session;tool:shell;cmd:for;effect:process;path:src/agents;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:session;tool:shell;cmd:for;effect:process;path:src/runners;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:session;tool:shell;cmd:grep;effect:read;path:src/cli_db.rs;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:session;tool:shell;cmd:grep;effect:read;path:src/runners;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:session;tool:shell;cmd:grep;effect:read;path:src/server;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:session;tool:shell;cmd:python3;effect:write;path:src/decode.rs;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:session;tool:shell;cmd:python3;effect:write;path:src/sinks;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:session;tool:shell;cmd:python3;effect:write;status:ok
top,claude,-0.68,0.0,0.68,0,1,1,True,project:agentsight;session:model;prompt:session;tool:shell;cmd:sed;effect:read;path:src/output;status:ok
